,Title,info,Rating,Views,Description,Price
195,Legend of Suheldev,"English, Paperback, Book Amish : An Immortal Writer's Centre",4.6,"(1,628)","A Forgotten Hero. An Unforgettable Battle. India, 1025 AD. Repeated attacks by Mahmud of Ghazni and his barbaric Turkic hordes have weakened India's northern regions. The invaders lay waste to vast swathes of the subcontinent plundering, killing, raping, pillaging. Many of the old Indian kingdoms, tired and divided, fall to them. Those who do fight, battle with old codes of chivalry, and are unable to stop the savage Turkic army which repeatedly breaks all rules to win. Then the Turks raid and destroy one of the holiest temples in the land: the magnificent Lord Shiva temple at Somnath. At this most desperate of times, a warrior rises to defend the nation. King Suheldev. The ruler of a small kingdom, he sees what must be done for his motherland, and is willing to sacrifice his all for it. A fierce rebel. A charismatic leader. An inclusive patriot. Read this blockbuster epic adventure of courage and heroism, a fictional tale based on true events, that recounts the story of that lionhearted warrior and the magnificent Battle of Bahraich. Soon to be made into Major Motion Picture.",₹268
196,ELEVEN MINUTES,"English, Paperback, Paulo Coelho",4.5,"(4,641)","About the BookEleven Minutes chronicles the story of a young Brazilian woman named Maria. She moves out of her small village to Geneva, Switzerland where she hopes to start her life over. A chance encounter with an Arab man one night earns her thousands of francs. Lured by the prospect of easy money, she takes up prostitution as a profession. Her feelings about ‘true love’ are put to test when she meets Ralf, a man she eventually falls in love with. In her journey of self-discovery, she is forced to choose between continuing with her profession or rising to the occasion and risking everything for the possibility of discovering what love actually means. About the Author Born on 24 August 1947, Brazilian lyricist and novelist Paulo Coelho is best known for his novel The Alchemist. Even at a young age, Paulo always knew that he was meant to become a writer. In fact, when a young Paulo told his mother about his wish to become a writer and expressed his unwillingness to follow a traditional path, his parents committed him to a mental institution. But, that didn’t stop Paulo Coelho, and he went on to write best-selling novels, such as The Winner Stands Alone, The Devil and Miss Prym and The Witch of Portobello, among others. ",₹195
197,1984 - 1984,"English, Paperback, Orwell George",4.5,"(7,868)","
It is 1984. The world has changed beyond recognition. History is rewritten by the victors, and there is nowhere to run. In George Orwell’s dystopian classic, Big Brother is watching you.

Summary of the Book

	Consider for a moment that all the freedom one takes for granted is stripped away. Consider how it would be to live in a world where the Government exercised totalitarian control over the past, the future and the present. In 1984, the world as we know it has ended. A superstate called Oceania stands over the remnants of the free countries of the world. It is governed by an authoritarian body known only as Big Brother. There is no escaping the eye of Big Brother, no running away from his gaze. In this world, Winston Smith leads a sad life, forming a part of the large group of citizens who are hired for a simple purpose: rewriting old newspaper articles to erase whatever Big Brother deems evil. Smith is an efficient worker, but he hates his masters. When he meets Julia, a like-minded woman, he falls in love with her. However, while Big Brother watches, there can be no freedom to love. In this world, freedom is slavery and ignorance is strength.

About George Orwell

Eric Arthur Blair, better known as George Orwell, was an English writer, essayist, journalist and critic best remembered for his prose, which constantly targeted social injustice, opposition to totalitarianism, and commitment to democratic socialism.

	Orwell contributed so greatly to the dystopian literature genre that the genre itself is called Orwellian, and his other novel, Animal Farm, is considered the epitome of satirical writing. The current title was adapted into a 1984 major motion picture, several radio programs and has inspired several songs and works of literature.
",₹197
198,1984,"English, Paperback, Orwell George",4.5,"(7,868)","
It is 1984. The world has changed beyond recognition. History is rewritten by the victors, and there is nowhere to run. In George Orwell’s dystopian classic, Big Brother is watching you.

Summary of the Book

	Consider for a moment that all the freedom one takes for granted is stripped away. Consider how it would be to live in a world where the Government exercised totalitarian control over the past, the future and the present. In 1984, the world as we know it has ended. A superstate called Oceania stands over the remnants of the free countries of the world. It is governed by an authoritarian body known only as Big Brother. There is no escaping the eye of Big Brother, no running away from his gaze. In this world, Winston Smith leads a sad life, forming a part of the large group of citizens who are hired for a simple purpose: rewriting old newspaper articles to erase whatever Big Brother deems evil. Smith is an efficient worker, but he hates his masters. When he meets Julia, a like-minded woman, he falls in love with her. However, while Big Brother watches, there can be no freedom to love. In this world, freedom is slavery and ignorance is strength.

About George Orwell

Eric Arthur Blair, better known as George Orwell, was an English writer, essayist, journalist and critic best remembered for his prose, which constantly targeted social injustice, opposition to totalitarianism, and commitment to democratic socialism.

	Orwell contributed so greatly to the dystopian literature genre that the genre itself is called Orwellian, and his other novel, Animal Farm, is considered the epitome of satirical writing. The current title was adapted into a 1984 major motion picture, several radio programs and has inspired several songs and works of literature.
",₹99
201,Train to Pakistan,"English, Paperback, Singh Khushwant",4.5,"(10,414)"," In Train To Pakistan, a historical novel about the Indo-Pakistan Partition, the residents of a border village find their peaceful lives shattered by the arrival of a train carrying the bodies of dead Sikhs.  Summary of the Book  	In Khushwant Singh's honest tone the setting is clear. Ask Muslims about the Partition, he says, and they will say that the Hindus killed their people. Ask the Hindus and they will blame the Muslims. In Mano Majra, an idyllic village standing on the border of what becomes Pakistan following the Partition of India in 1947, the people believe that there will be little change because of the political ongoings. Life will go on normally, in peace. Their world is shaken and stood on its head as a local money-lender is murdered and people begin to blame a Sikh gangster in love with a Muslim girl. As if to kindle the fire further, a train arrives with a disastrous cargo. The bodies of dead Sikhs, murdered, apparently, by Muslims. The ensuing chaos rips the village apart and showcases how the Partition reached into the innards of Indian villages and turned every soul ugly.  About Khushwant Singh  	Khushwant Singh was an Anglo-Indian writer, advocate, politician and journalist. A Padma Vibhushan awardee, Mr. Singh is best remembered for his humour, love of poetry and his vigourous treatment of secularism in his writings, most evident in: The Company of Women, Truth, Love and a Little Malice, With Malice towards One and All, The Mark of Vishnu and Other Stories and Delhi: A Novel.  	A graduate of Government College, Lahore, St. Stephen's College in Delhi and King's College London, he read for the Bar at the Inner Temple and served as a practicing lawyer for nearly fifteen years before entering journalism. He has worked with The Illustrated Weekly, The National Herald and Hindustan Times. A prolific writer, Mr. Singh wrote till the grand old age of 99, releasing his last work The Good, The Bad and The Ridiculous a few months before his passing in March 2014.  	 ",₹476
204,As a man thinketh - A Person is Limited Only By Thought...,"English, Paperback, Allen James",4.4,"(7,033)","About the BookDeeply inspired by a biblical verse from the Book of Proverbs (chapter 23, verse 7): “As a man thinketh in his heart, so is he”, the novel As a Man Thinketh is Allen James’ sincere effort to convince the readers that each man holds the key to his condition - be it good or bad. Often described by Allen as “A book that will help you help yourself”, As a Man Thinketh is a book that any person who’s looking to bring a change about his/her life should consider reading.About the AuthorIf you are looking for something inspiring and poetic, then a James Allen work should be on your must-have collection. James Allen was a British philosophical writer who is also hailed as the pioneer of the self-help movement. His most famous work is As a Man Thinketh that was published in 1903. This book has been mass-produced and it is still today, a source of motivation and reference for several self-help authors. He had also published his own spiritual magazine, The Light of Reason. It was later retitled as The Epoch. ",₹59
205,As a Man Thinketh and the Path of Prosperity,"English, Paperback, Allen James",4.4,(717),"James Allen's books being absolutely practical have their source in the teachings of religions across the world, especially the New Testament, the Old Testament, and Buddhism, and the thoughts of World's great philosophers. As a Man Thinketh, the widely acclaimed book is second in the list of inspirational books written by Allen. Echoing the Buddhist teaching that all that we are is the result of our thoughts, Allen tries to establish in this book that, as a man thinks in his heart, so he is. Allen drives home the two essential truths of life through this book. One is that, we are what our thoughts have made us because, thought leads us to action. The other truth is that we are the architects of our future. If we believe in this, we can transform our dreams into realities. 
Prosperity doesn't come from the relentless acquisition of things, but from constant improvement of one's own self – this is the quintessence of The Path of Prosperity. To go about this task of self-realisation, the prime most thing that one should do is to examine the evil within one's self and find out ways to control or destroy it. Then the path towards one's goal is clear. This is the secret that can lead a person to success, and when one succeeds, he can achieve prosperity.",₹89
210,"Physics Part 1 & 2, Chemistry Part -1 & 2 And Mathemati...","Paperback, NCERT",4.1,(513),This book set contains 1 :1 MATH 2.PHYSICS PART-1 3.PHYSICS PART-2 4. CHEMISTRY PART-1 5.CHEMISTRY PART-2,₹715
211,Exam Warriors (Revised and Updated Edition),"English, Paperback, Modi Narendra",4.5,"(5,855)","The new and enhanced edition of Exam Warriors by Narendra Modi is not only an inspiring book for students but also for their parents and teachers. Written in a fun and interactive style, with illustrations, activities and yoga asanas, this book will be a friend in acing exams and facing life. Non-preachy, practical and thought-provoking, Exam Warriors is a handy guide for youth of India and across the world.",₹118
212,How to Win Friends and Influence People - The First and...,"English, Paperback, Carnegie Dale",4.5,"(21,837)","
How to Win Friends and Influence People is a self-help book by Dale Carnegie.

Summary of the Book

	This book is a classic work on improving personal relationships. It helps readers master the skill of making friends quickly and easily. It also helps readers increase their popularity and win over people to their way of thinking. Dale Carnegie teaches readers how to improve their relationships with the people around them. He uses time-tested methods to teach readers about becoming better conversationalists, better salesmen and better executives. These methods help readers learn how to speak to people without resorting to criticizing, condemning or complaining. Readers will learn how to bring out the emotions they need in people and how to use these emotions to sell ideas and products. They will also learn how to listen to people, how to respect opinions and empathize with people. In addition, Dale Carnegie includes two letters which describe how to appeal to people better by making them feel like they are in power. The book has changed lives throughout the world ever since it was first published, and it continues to do so to this very day.

About Dale Carnegie

	Dale Carnegie was an American writer and lecturer best remembered for developing his breakthrough courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills.

	Carnegie’s other books on self-improvement are How to Stop Worrying and Start Living, Public Speaking, Little Known Facts About Well Known People and The Quick and Easy Way to Effective Speaking.",₹126
214,The Best of Sherlock Holmes (Set of 2 Books),"English, Paperback, Doyle Arthur Conan",4.6,(390),"Sir Arthur Conan Doyle was most noted for creating the fictional detective Sherlock Holmes, who has been listed with the Guinness World Records as the 'most portrayed movie character' in history. This pack includes Doyle's bestselling The Adventures of Sherlock Holmes, a collection of twelve short stories, and The Complete Novels of Sherlock Holmes, a collection of Doyle's four novels namely A Study in Scarlet (1887), The Sign of the Four (1890), The Hound of the Baskervilles (1902), and The Valley of Fear (1915), all featuring the timeless detective Sherlock Holmes.About the AuthorAn exceptionally talented storyteller, Sir Arthur Ignatius Conan Doyle was born in Edinburgh, Scotland, in May 1859. Doyle began writing while studying at the University of Edinburgh Medical School, which he joined in 1876. Doyle graduated in 1881 and was employed as a surgeon on the steamer Mayumba on its voyage to the West African coast.Sir Arthur Conan Doyle was most noted for creating the fictional detective Sherlock Holmes and writing stories about him which are generally considered milestones in the field of crime fiction. Pointing out the social injustices, Holmes offers a new and just approach in a world which is unfair. Sherlock Holmes, the most well-known fictional detective, has been listed with Guinness World Records as the “most portrayed movie character"" in history.Doyle died of a heart attack in July 1930, aged seventy-one.",₹249
220,Sita,"English, Paperback, Pattanaik Devdutt",4.5,"(2,127)"," 	Sita: An Illustrated Retelling Of The Ramayana is the Ramayana retold with the focus of the story being on Sita, Rama’s devoted and loyal wife.  Flipkart Official Review  	Retellings of epic myths are almost the in thing. Everyone is writing about them. Everyone has their version to the Mahabharata or the Ramayana. This time round though, the renowned mythologist, Devdutt Pattanaik is back with his story of Sita and the Ramayana.  	We have all grown up with a certain idea of the Ramayana and how it should be. Devdutt just makes us look closely to the humane side of it. Rama is still a man who longs for his wife and Sita is still a woman who waits for her husband. The crux of the story is that and yet it is about faith, dharma and being righteous. The illustrations with the writing make the book more intriguing and add a lot of mythical value.  	Devdutt takes the reader to a different journey across The Ramayana, which the reader will never forget. A must read this year.  Exclusive article by Devdutt Pattanaik for Flipkart Customers  	Even though Sita plays a pivotal role in the Ramayana, when you actually seek her out you realize she is but a prop, appearing and disappearing, with her marriage, her abduction, her rescue and finally her banishment. Who is she really? There are tantalizing clues in classical as well as subaltern literature and in folk traditions, but nothing else.  	And then, of course, there is the attempt of modern writers to portray her as a helpless, hapless victim, shaped both by the tragic state of women in many parts of the world and by modern political prejudices against all things religious. So you wonder if you really know Sita at all. And this enquiry made me seek Sita.  	The journey to discover Sita makes you realize that the Ramayana is not a book, as most people assume, but a vast tradition manifesting itself in written, oral and visual traditions. And for some reason, children of India have been kept away from it. Yes, we are told of the Valmiki Ramayana, but we are not told that there are several versions of this original story itself a northern version, a southern version, an eastern version, which have barely a third of the verses common between them. Then there are Sanskrit plays written by dramatists like Bhasa and Bhavabhuti where Ram is a great hero, not necessarily God. Then we find Ramayanas of the Jains, the Buddhists as well as from South East Asia, which retell the same story but with a very different emotion. From the tenth century onwards we find the Ramayana in each and every Indian language, written by several authors, in different scripts, with different styles, all deeply immersed in bhakti. It is through these regional narratives, not the Sanskrit ones really, that ideas related to love, valour, fidelity and wisdom spread to every corner of India.  	Besides songs and stories, there are also the visual narrations in the form of carvings and murals on temple walls, paintings on cloth and paper such as the Mewari and Rajasthani miniatures and Kalamkari and Patta-chitra and Chitrakathi artworks. In some of these we find Ram with a moustache, in others with a six-pack. All these amused and inspired me and I wanted to share them with the world.  	And in this storm of ideas stands steadfast the quiet Sita, very different from the fiery and vengeful Draupadi. Her silence has been taken to mean submission by those who forget she is the daughter of Janaka who was the patron of the Upanishads, the body of work that captures the essence of Vedic thought. Through her silence she conveyed her serenity and sagacity, unflustered by the restraints of culture, demands of morality and the rage of villains.  	We today are too busy wanting to be heard. We do not bother with listening. This book is written so that we listen to Sita and through her discover a uniquely Indian approach to justice, fairness and most importantly, love.  Summary Of The Book  	Ramayana is the story of Rama, the son of King Dasharatha. He was the heir to his kingdom, an empire. Yet, due to the malice prevalent in the palace, the Prince was exiled. He had to live in the forest with his wife and his younger brother for fourteen years. Rama took this step to ensure that his father’s reputation as a man who keeps his word, was not tarnished.  	One of the underlying themes of the Ramayana echoes the upholding of tradition, reputation, and the family image. The Ramayana is all about obeying the rules and laws of Dharma, and about maintaining reputation even if it means personal loss and unhappiness. According to this book, this is the key to understanding the story of Sita in the Ramayana.  	Who is Sita? She plays a prominent role in the epic, but is a very quiet and restrained character. Her husband adores her, yet he abandons her in the end because of the persistent gossip among his subjects about Sita’s fidelity. Through all her travails, Sita remains quiet, does not lose her composure, and does not vocally demand retribution, like the fiery Draupadi of the Mahabharata. Draupadi is acknowledged as a strong character, and she is. But, Sita is often viewed as meek and submissive.  	Sita’s silence is not the silence of the weak. It is the silence of the ascetic, who knows the truth, and so is patient. She knows her husband loves her, and she is indispensable to him. Moreover, she knows she is the Goddess who makes him the God, the woman who makes him the whole man.  	She was found as a baby in a furrow when Janaka ploughed a tract of land to prepare for a yagna. Thus, from the beginning, she is special and stands apart. Even when she is held captive by Ravana, she does not really fear him.  	Sita: An Illustrated Retelling Of The Ramayana explores the enigma of Sita and explains her real strength of character. It is a very interesting analysis of a woman most people might think was a weak character, who was supposed to represent the ideal of submissive womanhood. This book shows why this was not so.  About Devdutt Pattanaik  	Devdutt Pattanaik is a doctor who became a writer.  	Other books by this author include Business Sutra: A Very Indian Approach to Management, 7 Secrets of Vishnu, Jaya: An Illustrated Retelling of the Mahabharata, The Book of Ram, and Hanuman's Ramayan.  	Devdutt Pattanaik is a doctor who worked in the pharmaceutical and healthcare industry for many years. Throughout his life, he has also been deeply interested in Hindu mythology, the epics, puranas and the many legends and divine tales. So, after almost fifteen years in the healthcare industry, he switched his career. He began to focus on writing about Hindu mythology and using the Hindu scriptures to teach lessons in business management. He is now the Chief Belief Officer at the Future Group.  Interview with Devdutt Pattanaik  1. The Ramayana has had a whole lot of characters. Why did you settle on Sita to tell your story?  	Though Sita plays a pivotal role in the Ramayan, she is actually in the background, merely a device to talk about Ram. It came as a surprise to me. Further, I read many new retellings and reimaging of Sita on feminist lines, and many of these were part of the ‘victim’ discourse which I felt was a unflattering portrayal of Sita; my reading of mythology had revealed a very different woman. Wanted to share it with the world.  2. Sita has always been rather off-late, spoken about in quite a feminist manner. What are your thoughts or views on it?  	Somehow these feminist retellings make her sound like a victim. A Goddess cannot be a victim. Shit happens in life. We have a choice whether to be victim or hero or avenging angel, or sage. I did not find much about Sita, the sage. A huge gap that needed to be filled.  3. Devdutt's take on Mythology  	Stories, symbols and rituals that communicate the subjective truth or beliefs of a people.  4.  What are you reading as of now?  	First draft of my next book but I won’t tell you about it.  5. How did you spin this story? Where did the idea come from?  	I always wondered what it would be like to be daughter of the legendary Janaka, patron of the Upanishads. Few talk about it. I also wondered what Sita did in those days of her captivity. Folklore has a few clues, and these excited me as no one I knew had heard these details. Also in pilgrim spots across India, the suggestion of Ram’s celibacy during exile made me wonder what if felt like for a young couple to be denied marital rights. Then the many retellings of the tale, usually commented upon by Western scholars who are not the most sensitive lot in the world owing to demands of modern academia.  People usually focus on the radical; I loved the finer nuances in the tale, the different approaches to Ahilya or Surpanakha or Hanuman or Tara. So much knowledge hidden from India’s youth. All these churned in my mind and finally turned into this retelling.  6. Do you think Sita's voice gets lost in the Ramayana? Is there anything as more focus on Ram than Sita?  	It is Ramayana – story of Ram so every other voice is secondary. But your questions suggests that she is deliberately silenced. Many authors read the epic in this way and deliberately make it sound like something it never was. Sita’s voice is the human voice. We are not always heard because we are busy hearing.  7. Sita's side of the story. We hear that a lot these days. Is there a side to Ramayana at all? According to you, should there be different perspectives to mythology?  	This side-business is a modern curse. We have Right side, Left side, male side, female side, victim side, oppressed side etc…..we miss the point of the epic by making it political to satisfy our own agendas and making the book what it is not. We see Ram as male  and Sita as female because the Western template on which our education system is based on is unable to appreciate the symbolic. We are too eager and impatient to see things at a superficial level and declare ourselves liberal.  8. Your favourite work on Sita (if any)  	Sita, an illustrated retelling of the Ramayana, published by Penguin India and sold at Flipkart.  9. Devdutt's favourite mythological books  	Myth=Mithya, published by Penguin India and sold at Flipkart. (Feel free to judge me as a narcissist, but I refuse to submit to the modesty template)",₹300
221,Birthday Girl,"English, Paperback, Murakami Haruki",4.3,"(1,177)","She waited on tables as usual that day, her twentieth birthday. She always worked Fridays, but if things had gone according to plan on that particular Friday, she would have had the night off. One rainy Tokyo night, a waitress's uneventful twentieth birthday takes a strange and fateful turn when she's asked to deliver dinner to the restaurant's reclusive owner. Birthday Girl is a beguiling, exquisitely satisfying taste of master storytelling, published to celebrate Murakami's 70th birthday. Birthday Girl is also available in Birthday Stories and Blind Willow, Sleeping Woman.",₹99
224,Nursery Writing Books For Kids (Combo Of 4 Books Viz. N...,"Paperback, Content Team at Target Publications",4.4,"(1,132)","Writing forms an integral part of a child’s learning process. The age between 3 to 5 is the right time to start inculcating in kids the practice of learning alphabets and numbers. Children are often attracted to things which are colorful and interest them. Target Publication’s Nursery Writing Books for Kids (Combo of 4 books) introduces children to a series of fun and engaging ways to study. This books combo comes loaded with colorful fun activities presenting a perfect combination of amusing elements. Nursery Writing Books for Kids (Combo of 4 books) comprises of the following books: Nurture Stroke Book A is a recreational pattern book which is presented with ample practice to draw strokes in perfect style. This book consist of a worksheet at the end of the chapter to render practice to kids in a perfect way. It not only helps teach children to write in an appropriate manner but also introduces them to the subtle shades of drawing. Blossom Alphabet Writing Small Letters and Blossom Alphabet Writing Capital Letters are more than just a red and blue lined books that children generally dread to pick up. The engaging font, subtle colour and distinct examples add to the appeal of these books. It comprises of capital and small alphabets that enables the development of recall and recognition skills in children thus encouraging them to practice more. Blossom Number Book 1 to 10 is an attempt to stem away inhibitions surrounding numbers from the minds of children and make them enjoy numbers to the fullest. This book is created in a manner to hold the interest of kids between the age of 3 to 7 years. The book is replete with cartoonish number shapes and colorful illustrations to accompany them. Every page has colorful background and illustrations to engage children.",₹280
225,Word Power Made Easy,"English, Paperback, Lewis Norman",4.4,"(60,473)"," With an extensive repertoire of mental workouts to develop the subtle nuance of English grammar and build upon an enriched network of vocabulary, this book brings together a succinct narrative to engage readers with the sole purpose of enhancing the use of words.  Summary Of The Book  Word Power Made Easy: The Complete Handbook For Building A Superior Vocabulary is a superior reference book and guide that exerts all its efforts in making the content and its education more accessible and easy to use. This reissued edition contains revised content that is more attuned to the current idiomatic use of the English language and archaic analogies have been replaced through the book. The book is divided into three sections.  	The first section starts with more basic nuances of speaking the language. Here the author begins by first testing the readers present grasp over vocabulary. It moves on to the domain of describing the use of the English language in conversation with different personalities including doctors, scientists, liars and in turn presents information on conveying ideas related to the aforementioned personas. It then drives on to the second section whereby the focus is not just on conveying information but also emotions that vary across insulting, flattering and conversing about actions.  	The third section deals with complete success in mastering the language. Among chapters that centre around occurrences, personal characteristics and general conversation, this section provides tips on building the reader’s vocabulary even further and gauging progress. Every chapter ends with a review and the end of each section leads to a progressive check text that comprehensively involves all the content of that section.  	The invaluable guide ends with ‘brief intermission’ where the author notes the grammatical delicacies of the language and does so in ten little chapters. Here the flexibility of the language, idiomatic use of slang, speaking naturally and interesting derivatives are discussed in a concise manner. The book also has a number of tests to improve your language. Word Power Made Easy: The Complete Handbook For Building A Superior Vocabulary is indeed a champion in the cause of learning English in the fastest and most effective way.  Word Power Made Easy was first published in 1949.  About Norman Lewis  	Norman Lewis was a prolific American author, grammarian, lexicographer and etymologist. He was an eminent authority on the English language and developed a number of books to develop skills in that field. His other books include Instant Spelling Power, 30 Days To A More Powerful Vocabulary, How to Read Better and Faster, Rapid Vocabulary Builder, Roget’s New Pocket Thesaurus in Dictionary Form and 30 Days to Better English.  	He was born in Brooklyn, New York and completed his Masters from Columbia University. He wrote his first book, Journeys Through Wordland for sixth graders while at University. He started his teaching career at New York University, and also taught at City College of New York, and Rio Hondo College. He had a 15 year magazine writing career in which he wrote a column for Leisure. He taught grammar, etymology and English. He died in 2006 in California at the age of 93.",₹147
227,The Perfect Us,"English, Paperback, Datta Durjoy",4.5,"(9,143)","About the BookThe Perfect Us sees Avantika, an investment banker, and Deb, a corporate professional turned failed writer, turned scriptwriter of saas-bahu serials trying to find the ‘perfect place’ with their relationship. The ten years they have been together sees them surviving college, rave parties, annoying best friends, Shrey who has no respect for personal boundaries, and the ‘It’ couple Vernita and Tanmay. Deb and Avantika’s relationship is continually plagued by Deb’s conviction that he will never be able to reassure Avantika that he is the one for her. Not as long as her past looms in the background. Despite this situation, Avantika decides that she wants to take the next step. Will Deb find it in himself to be on the same page as her?  About the Author Indian novelist Durjoy Dutta was born in Mehsana, Gujarat. After completing his schooling at Bal Bharati Public School, Pitampura, Durjoy got into Delhi College of Engineering, now known as Delhi Technological University, to pursue mechanical engineering. Although he got a job at American Express, Durjoy knew that a corporate job wasn’t something that he wanted to do. In 2011, he took a bold decision to quit his job so that he could pursue writing full-time. Some of his notable novels are Now That You're Rich! Let’s Fall in Love!, You Were My Crush! ... Till You Said You Love Me! and If It's Not Forever ... It's Not Love. ",₹111
228,The Magic Drum And Other Favourite Stories,"English, Paperback, Murty Sudha",4.6,"(1,211)"," The Magic Drum and Other Favourite Stories is a collection of children’s tales by Sudha Murty.  Summary of the Book  	In this collection of stories from Indian folklore, Sudha Murty retells them from her memory of her grandparents. She tells the story of the clever and haughty princess who will only marry the man who asks her a question she cannot answer. She also tells the stories of kings, misers, wise men and foolish boys in this collection of hilarious and instructive stories which she loved from her days as a young girl.  About Sudha Murty  	Sudha Murty is an Indian entrepreneur, businesswoman and writer. She is well known for her books in Kannada and English: Dollar Sose, Runa, Old Man and his God and Wise and Otherwise among them.  	Mrs. Murty completed her M.E. from the Indian Institute of Science and was the first female engineer hired at India's largest auto manufacturer TATA Engineering and Locomotive Company or TELCO. She is married to Infosys chairman N. R. Narayana Murthy.",₹183
230,How to stop worrying and start living,"English, Paperback, Dale Carnegie",4.4,(753),"How to Stop Worrying and Start Living is a self-help book by Dale Carnegie. This book introduces ways to prevent fatigue and worry and cultivate a mental attitude that will bring peace and happiness. Carnegie says in the preface to How to Stop Worrying and Start Living that he wrote it because he ""was one of the unhappiest lads in New York"". He said that he made himself sick with worry because he hated his position in life, which he attributes to wanting to figure out how to stop worrying. The book's goal is to lead the reader to a more enjoyable and fulfilling life, helping them to become more aware of, not only themselves, but others around them. Carnegie tries to address the everyday nuances of living, in order to get the reader to focus on the more important aspects of life. Dale Breckenridge Carnegie was an American writer and lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills. Born in 1888 on a farm in Missouri, he was the author of 'How to Win Friends and Influence People', first published in 1936, a massive bestseller that remains popular today. He also wrote a biography of Abraham Lincoln, titled 'Lincoln the Unknown', as well as several other books.",₹755
231,The Diary of My Love,"English, Paperback, Sangani Deesha",4.4,(183),"Anushkaa is young, dynamic and deeply passionate, with her goals clearly set out. Fresh out of college, she has just stepped into the corporate world, chasing her dreams. Life seems perfect. Ayush meets Anushkaa on her first day at work, and feels a spark of liking rush through him. Torn between his heart and mind, he is sure he is smitten by her magical charm. A chance conversation with Anushkaa evokes emotions he hasn’t felt in years. She seems to be perfect. But does a perfect life exist? When they meet again four years later, their hearts are broken and their will to love is lost. They heal each other’s hearts and help each other achieve their dreams. Finally, when they start living for themselves and each other, life plays a cruel card. Anushkaa’s diary is her only true companion, holding within the pages the secret that nobody else will ever know. Join Ayush and Anushkaa on this rollercoaster of emotions, and take a peek into the secret Anushkaa has buried in The Diary of My Love.||About the Author: Deesha Sangani is a Bangalore-based author, Certified Relationship Affinity & Personal Empowerment Coach and motivational speaker. She is a highly influential blogger and an inspiration for many who want to live their dreams while balancing a successful corporate career.",₹110
232,Stories we never tell,"English, Paperback, Sharma Savi",4.5,"(1,861)","There are stories we never talk about. Stories we are afraid to share. Simply because they hurt too much or no one wants to listen to them.

Such was the story of Jhanvi, who is a budding social media influencer. She appears to have it all together, living her ideal life, but something is missing: Jhanvi has this impossible need that drives her to be more perfect than any person could possibly be.

And the story of Ashray, who had a rocky start in life. With hard work and determination, he translates his dreams into reality, but his deep-seated insecurities come to the fore when life throws him a curveball.

As their stories intersect, their lives change in ways they never expected.

In a world of loss, darkness and destruction, will Jhanvi and Ashray be able to tell a story of hope, light and recovery?",₹196
234,Greatest Short Stories of Leo Tolstoy - A Complete Coll...,"English, Paperback, Leo Tolstoy",4.5,"(1,615)"," The Greatest Short Stories of Leo Tolstoy is a collection of short stories by Russian author Leo Tolstoy.  Summary of the Book  	Leo Tolstoy believed in a strong moral foundation. His writing is constantly imbued with a didactic nature and his short stories are a strong example of this. Tolstoy is celebrated to this day for his short stories, and this collection brings together some of his most memorable stories. In How Much Land Does a Man Need?, an avaricious man makes a deal with the Devil. In God Sees the Truth But Waits, an innocent man is convicted of a murder he did not commit and goes on to become a mediator among his fellow prisoners. In A Prisoner in the Caucasus, Tolstoy’s favourite story, an old man tries to barter the lives of two Russian soldiers for the life of his captive son. In Ivan the Fool, a naïve young man must bolster his struggling family's fortunes together with his mute sister. These and several other stories demonstrate Tolstoy’s penchant for a life full of love, respect and devotion for the truth.  About Leo Tolstoy  Lev ""Leo"" Nikolayevich Tolstoy was a Russian writer and philosopher. Considered one of the greatest novelists, he is best known for Anna Karenina, War and Peace, The Death of Ivan Ilych, Family Happiness and Hadji Murat.",₹142
